OrderNum,ProdCategory,ProdNumber,ProdName
1100948,Training Videos,TV810,Understanding Automation
1101096,Blueprints,BP104,Cat Robot Blueprint
1101138,Drones,DS306,DX-145 Drone
1101158,Drones,DS306,DX-145 Drone
1101181,eBooks,EB507,Drone Building Essentials
1101354,Training Videos,TV805,Industrial 3D Printing 
1101475,Robots,RS707,RXW-9807 Robot
1101495,Robots,RS702,MICR-23K Robot
1101685,Drone Kits,DK206,BYOD-400
1101743,Drone Kits,DK209,BYOD-550
1101825,Robot Kits,RK603,BYOR-1500
1101839,Training Videos,TV803,Cloud Computing
1101902,Blueprints,BP108,Panda Robot Blueprint
1101926,Training Videos,TV803,Cloud Computing
1101945,eBooks,EB509,GPS Drones
1102052,Blueprints,BP104,Cat Robot Blueprint
1102085,eBooks,EB503,Building Your Own Drone
1102227,eBooks,EB507,Drone Building Essentials
1102305,Training Videos,TV804,Drone Video Techniques
1102306,eBooks,EB506,Delta Robots
1102439,Blueprints,BP106,Hexacopter Drone Blueprint
1102469,Robots,RS704,RLK-9920 Robot
1102578,Drones,DS303,DTD-7000 Drone
1102680,Blueprints,BP106,Hexacopter Drone Blueprint
1102697,Blueprints,BP105,Creature Robot Arms Blueprint 
1102745,Blueprints,BP107,Ladybug Robot Blueprint
1103009,Robot Kits,RK602,BYOR-1000
1103056,Training Videos,TV802,AI for Educators
1103206,Robot Kits,RK602,BYOR-1000
1103219,Drone Kits,DK203,BYOD-220
1103275,eBooks,EB508,Fixed Wing Drones
1103291,Robots,RS706,RWW-75 Robot
1103289,eBooks,EB506,Delta Robots
1103301,eBooks,EB507,Drone Building Essentials
1103413,eBooks,EB519,Spherical Robots
1103565,eBooks,EB506,Delta Robots
1103780,eBooks,EB508,Fixed Wing Drones
1103787,Training Videos,TV810,Understanding Automation
1103799,Training Videos,TV810,Understanding Automation
1103887,Robots,RS707,RXW-9807 Robot
1104015,Training Videos,TV804,Drone Video Techniques
1104089,Robots,RS707,RXW-9807 Robot
1104242,Robot Kits,RK606,BYOR-3535
1104323,Drones,DS307,MICR-564K Drone
1104380,Blueprints,BP104,Cat Robot Blueprint
1104420,eBooks,EB509,GPS Drones
1104433,eBooks,EB503,Building Your Own Drone
1104457,Training Videos,TV805,Industrial 3D Printing 
1104578,Robot Kits,RK606,BYOR-3535
1104768,Drone Kits,DK209,BYOD-550
1104819,eBooks,EB520,Understanding Arduino
1104837,Drone Kits,DK204,BYOD-300
1104910,Drones,DS305,DTI-84 Drone
1104934,Drones,DS302,DC-304 Drone
1105086,Blueprints,BP104,Cat Robot Blueprint
1105153,Robots,RS706,RWW-75 Robot
1105307,eBooks,EB504,Cartesian Robots
1105330,eBooks,EB503,Building Your Own Drone
1105362,eBooks,EB502,Building Your First Robot
1105372,Blueprints,BP107,Ladybug Robot Blueprint
1105403,Blueprints,BP106,Hexacopter Drone Blueprint
1105409,Training Videos,TV801,Aerial Security
1105415,Blueprints,BP101,All Eyes Drone Blueprint
1105534,Training Videos,TV804,Drone Video Techniques
1105626,Training Videos,TV809,Understanding 3D Printing
1105640,Drone Kits,DK204,BYOD-300
1105701,eBooks,EB511,Helicopter Drones
1105770,Drones,DS306,DX-145 Drone
